length,generator,test,statistic,p_value,passed,alpha,execution_time,details,error
10000,Block RNG,Frequency (Monobit),8.16,3.3502459183738473e-16,False,0.01,0.0002841000000017857,"{'n': 10000, 'ones': 4592, 'zeros': 5408}",
10000,Block RNG,Block Frequency,1000.0,5.3622841032033086e-160,False,0.01,0.000297899999999629,"{'block_size': 128, 'n_blocks': 78}",
10000,Block RNG,Runs,0.0,0.0,False,0.01,0.0002667999999985682,"{'n': 10000, 'pi': 0.4592, 'reason': 'frequency precondition failed'}",
10000,Block RNG,Longest Run of Ones,615.950177935943,7.23384170207313e-131,False,0.01,0.0036803000000027453,"{'block_size': 128, 'n_blocks': 78, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [0.0, 0.0, 0.0, 0.0, 0.0, 78.0]}",
10000,Block RNG,Binary Matrix Rank,58.36526946107785,2.1190576356714317e-13,False,0.01,0.003267699999998541,"{'matrix_shape': [32, 32], 'n_matrices': 9, 'observed': [0.0, 0.0, 9.0]}",
10000,Block RNG,Non-overlap Template,2328.1054687500005,0.0,False,0.01,0.05438739999999953,"{'template': '001', 'block_size': 1024, 'n_blocks': 9, 'mean': 127.75, 'variance': 48.0}",
10000,Block RNG,Maurer Universal,1.1634671143823252,0.0,False,0.01,0.00309920000000119,"{'L': 6, 'Q': 640, 'K': 1026, 'expected_value': 5.2177052, 'sigma': 0.03144832143564455}",
10000,Markov p_stay=0.95,Frequency (Monobit),2.1,0.03572884112563311,True,0.01,0.0003017999999990195,"{'n': 10000, 'ones': 5105, 'zeros': 4895}",
10000,Markov p_stay=0.95,Block Frequency,892.46875,1.608061477316092e-138,False,0.01,0.00031339999999957513,"{'block_size': 128, 'n_blocks': 78}",
10000,Markov p_stay=0.95,Runs,535.0,0.0,False,0.01,0.0002938999999990699,"{'n': 10000, 'pi': 0.5105}",
10000,Markov p_stay=0.95,Longest Run of Ones,615.950177935943,7.23384170207313e-131,False,0.01,0.004195599999999189,"{'block_size': 128, 'n_blocks': 78, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [0.0, 0.0, 0.0, 0.0, 0.0, 78.0]}",
10000,Markov p_stay=0.95,Binary Matrix Rank,58.36526946107785,2.1190576356714317e-13,False,0.01,0.008231000000002098,"{'matrix_shape': [32, 32], 'n_matrices': 9, 'observed': [0.0, 0.0, 9.0]}",
10000,Markov p_stay=0.95,Non-overlap Template,1913.4596354166667,0.0,False,0.01,0.05848749999999825,"{'template': '001', 'block_size': 1024, 'n_blocks': 9, 'mean': 127.75, 'variance': 48.0}",
10000,Markov p_stay=0.95,Maurer Universal,1.8067832720671573,0.0,False,0.01,0.003249800000002523,"{'L': 6, 'Q': 640, 'K': 1026, 'expected_value': 5.2177052, 'sigma': 0.03144832143564455}",
100000,Python Mersenne,Frequency (Monobit),1.2143146215046576,0.22462760430433626,True,0.01,0.0012066000000032773,"{'n': 100000, 'ones': 49808, 'zeros': 50192}",
100000,Python Mersenne,Block Frequency,791.46875,0.3895242397517317,True,0.01,0.0009984999999979038,"{'block_size': 128, 'n_blocks': 781}",
100000,Python Mersenne,Runs,50200.0,0.20422973213126439,True,0.01,0.0010249000000008834,"{'n': 100000, 'pi': 0.49808}",
100000,Python Mersenne,Longest Run of Ones,2.505063342541882,0.7757323293372151,True,0.01,0.04558270000000064,"{'block_size': 128, 'n_blocks': 781, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [104.0, 189.0, 190.0, 136.0, 82.0, 80.0]}",
100000,Python Mersenne,Binary Matrix Rank,1.338783779786003,0.512019847578093,True,0.01,0.1469161000000021,"{'matrix_shape': [32, 32], 'n_matrices': 97, 'observed': [33.0, 51.0, 13.0]}",
100000,Python Mersenne,Non-overlap Template,92.51171875,0.6099828418326187,True,0.01,0.4895500999999989,"{'template': '001', 'block_size': 1024, 'n_blocks': 97, 'mean': 127.75, 'variance': 48.0}",
100000,Python Mersenne,Maurer Universal,8.185198638438782,0.5590832825329977,True,0.01,0.016123700000001406,"{'L': 9, 'Q': 5120, 'K': 5991, 'expected_value': 8.1764248, 'sigma': 0.015018457881660164}",
100000,NumPy PCG64,Frequency (Monobit),0.27828043409481734,0.7807970944916561,True,0.01,0.0011137999999988324,"{'n': 100000, 'ones': 49956, 'zeros': 50044}",
100000,NumPy PCG64,Block Frequency,734.09375,0.8838604079937882,True,0.01,0.0009812000000017918,"{'block_size': 128, 'n_blocks': 781}",
100000,NumPy PCG64,Runs,49988.0,0.9396976869166928,True,0.01,0.0010182999999983622,"{'n': 100000, 'pi': 0.49956}",
100000,NumPy PCG64,Longest Run of Ones,2.542470307216689,0.7700858157058568,True,0.01,0.03375810000000001,"{'block_size': 128, 'n_blocks': 781, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [97.0, 190.0, 186.0, 142.0, 71.0, 95.0]}",
100000,NumPy PCG64,Binary Matrix Rank,3.1628550307216043,0.205681275356464,True,0.01,0.14035029999999793,"{'matrix_shape': [32, 32], 'n_matrices': 97, 'observed': [30.0, 60.0, 7.0]}",
100000,NumPy PCG64,Non-overlap Template,120.78255208333333,0.05133921810725661,True,0.01,0.4795355999999984,"{'template': '001', 'block_size': 1024, 'n_blocks': 97, 'mean': 127.75, 'variance': 48.0}",
100000,NumPy PCG64,Maurer Universal,8.183893404444897,0.6189810168496646,True,0.01,0.01537609999999745,"{'L': 9, 'Q': 5120, 'K': 5991, 'expected_value': 8.1764248, 'sigma': 0.015018457881660164}",
100000,BB84 no Eve,Frequency (Monobit),1.5305423875214954,0.12588252983966755,True,0.01,0.001130400000000975,"{'n': 100000, 'ones': 50242, 'zeros': 49758}",
100000,BB84 no Eve,Block Frequency,720.96875,0.9385492078281815,True,0.01,0.0010042000000005658,"{'block_size': 128, 'n_blocks': 781}",
100000,BB84 no Eve,Runs,49934.0,0.6817894930554185,True,0.01,0.001021000000001493,"{'n': 100000, 'pi': 0.50242}",
100000,BB84 no Eve,Longest Run of Ones,3.2182065195150975,0.6663855798235048,True,0.01,0.03991409999999718,"{'block_size': 128, 'n_blocks': 781, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [99.0, 173.0, 194.0, 145.0, 76.0, 94.0]}",
100000,BB84 no Eve,Binary Matrix Rank,6.134572446334451,0.046547302603029965,True,0.01,0.12338610000000116,"{'matrix_shape': [32, 32], 'n_matrices': 97, 'observed': [20.0, 57.0, 20.0]}",
100000,BB84 no Eve,Non-overlap Template,94.83463541666667,0.5432636715902895,True,0.01,0.5081062000000003,"{'template': '001', 'block_size': 1024, 'n_blocks': 97, 'mean': 127.75, 'variance': 48.0}",
100000,BB84 no Eve,Maurer Universal,8.162917281739231,0.3684425732745612,True,0.01,0.017770300000002237,"{'L': 9, 'Q': 5120, 'K': 5991, 'expected_value': 8.1764248, 'sigma': 0.015018457881660164}",
100000,BB84 Eve 35%,Frequency (Monobit),0.05692099788303082,0.9546081275372709,True,0.01,0.001126000000002847,"{'n': 100000, 'ones': 49991, 'zeros': 50009}",
